"","Binomial","Freq","2015","2016","2017","2018","2019","2020","2021","2022"
"Acanthis_flammea","Acanthis_flammea",52,1,0.00165760170498863,0.00137881891111313,0.00114926384656788,0.000999251246009525,0.00093852144606732,0.000930644696047089,NA
"Acanthis_hornemanni","Acanthis_hornemanni",52,1,0.00636191847739054,0.00630373485113078,0.00624946909444712,0.00621269643043987,0.00619972193526008,0.00620006215485547,NA
"Accipiter_cooperii","Accipiter_cooperii",53,1,-2.43092309566428e-05,0.0011813926341615,0.0021319551090706,0.00263053287143378,0.0026352366696889,0.00235557108521234,0.00211896631245501
"Accipiter_gentilis","Accipiter_gentilis",53,1,-0.00258227207468331,-0.00262774613504058,-0.00266508582902203,-0.0026983703055472,-0.00272678629591994,-0.0027465959475661,-0.0027557865455754
"Accipiter_striatus","Accipiter_striatus",53,1,-0.0106640481454692,-0.0110521814712512,-0.0112313581671644,-0.0112334546485282,-0.0112225617502824,-0.0112992068244917,-0.0113919630608801
"Acipenser_brevirostrum","Acipenser_brevirostrum",3,1,NA,NA,NA,NA,NA,NA,NA
"Acipenser_fulvescens","Acipenser_fulvescens",59,1,0.0136715747970286,0.0411406472346934,0.0463573055774114,0.0485081992001981,0.0307820164335288,0.0307820164335291,0.0307820164335291
"Acipenser_medirostris","Acipenser_medirostris",4,1,-0.0463156216380254,NA,NA,NA,NA,NA,NA
"Acipenser_oxyrinchus","Acipenser_oxyrinchus",14,1,NA,NA,NA,NA,NA,NA,NA
"Acipenser_transmontanus","Acipenser_transmontanus",14,1,NA,NA,NA,NA,NA,NA,NA
"Actitis_macularius","Actitis_macularius",53,1,0.00161195657074631,0.00265314710258624,0.00374848016793294,0.0047973831264857,0.00572345721802947,0.00643947689484087,0.00682190877622246
"Aechmophorus_occidentalis","Aechmophorus_occidentalis",33,1,-0.00151849687610728,-0.00424444527581458,-0.00693617061779817,-0.00865153073028135,-0.00915698196384207,-0.00887330630487859,-0.00850472716046757
"Aegolius_acadicus","Aegolius_acadicus",52,1,0.0110999647440237,0.0114222033745017,0.0117146277227853,0.0119751636351226,0.0121627442040655,0.0122500222222117,NA
"Aegolius_funereus","Aegolius_funereus",52,1,0.00439376079353976,-0.00294488847840284,-0.00110576757736973,0.00507623039662922,0.0073851171874546,0.00595037066329465,NA
"Aeorestes_cinereus","Aeorestes_cinereus",2,NA,NA,NA,NA,NA,NA,NA,NA
"Aeronautes_saxatalis","Aeronautes_saxatalis",53,1,-0.0357897117666959,-0.0367107308113199,-0.0373327598982123,-0.0378047247606317,-0.0381801088678926,-0.038424313012166,-0.0385262959863264
"Agelaius_phoeniceus","Agelaius_phoeniceus",53,1,0.01139076687017,0.00958787774005199,0.00646069044315478,0.00349216263661067,0.00111281945853925,-0.000830886576759893,-0.00201939996359979
"Agonopsis_vulsa","Agonopsis_vulsa",5,1,NA,NA,NA,NA,NA,NA,NA
"Aix_sponsa","Aix_sponsa",53,1,0.00396513027337775,0.00369541947066532,0.0033464910481894,0.00282425588725965,0.00211008659573231,0.00139892132751374,0.00097836247998806
"Albatrossia_pectoralis","Albatrossia_pectoralis",11,1,0.0502459881407837,0.0502459881407846,0.0502459881407837,0.0502459881407846,0.0502459881407846,NA,NA
"Alca_torda","Alca_torda",53,1,0.0206051505136395,0.0206051505136386,0.0206051505136386,0.0206051505136386,0.0206051505136386,0.0206051505136386,0.0206051505136395
"Alces_alces","Alces_alces",342,1,-0.0321670469090519,-0.0312508472817492,-0.0168945040411959,-0.0876129241856179,-0.0740252101596208,0.0656712666570035,0.0738881343636192
"Alepocephalus_tenebrosus","Alepocephalus_tenebrosus",3,1,0.098508946627204,NA,NA,NA,NA,NA,NA
"Alexandromys_oeconomus","Alexandromys_oeconomus",8,1,NA,NA,NA,NA,NA,NA,NA
"Allosmerus_elongatus","Allosmerus_elongatus",4,1,NA,NA,NA,NA,NA,NA,NA
"Alosa_pseudoharengus","Alosa_pseudoharengus",241,1,0.00342015380490596,-0.00680550928987622,0.00600580696429909,-0.00360586526779686,0.0197324942164829,0.0732857972410116,0.115175958736104
"Alosa_sapidissima","Alosa_sapidissima",121,1,0.00498390630364315,0.0182323902331782,0.0262492419689924,0.000373569675626406,0.0191255382119708,0.0446058098906192,0.0630549289087545
"Ambloplites_rupestris","Ambloplites_rupestris",121,1,0.00982127030588281,0.00968883286271444,0.01706036225719,0.0169212054475558,0.014120812971306,0.0139406202988375,0.0129860731760799
"Amblyraja_radiata","Amblyraja_radiata",554,1,0.00622434807563329,-0.00494022855216791,-0.0122916872469365,-0.0176272239807676,-0.0138554212956483,-0.000939786810172103,0.00900693582749596
"Ambystoma_gracile","Ambystoma_gracile",13,1,0.0555819725069853,0.0548820744774647,NA,NA,NA,NA,NA
"Ambystoma_jeffersonianum","Ambystoma_jeffersonianum",3,1,NA,NA,NA,NA,NA,NA,NA
"Ambystoma_macrodactylum","Ambystoma_macrodactylum",11,1,NA,NA,NA,NA,NA,NA,NA
"Ambystoma_maculatum","Ambystoma_maculatum",20,1,NA,NA,NA,NA,NA,NA,NA
"Ameiurus_melas","Ameiurus_melas",2,NA,NA,NA,NA,NA,NA,NA,NA
"Ameiurus_natalis","Ameiurus_natalis",2,NA,NA,NA,NA,NA,NA,NA,NA
